cod_municipal,descripcion,municipio,cod_provincia
820175,Tostado,Municipio Tostado,AR-S
820161,Esperanza,Municipio Esperanza,AR-S
820042,Rafaela,Municipio Rafaela,AR-S
820035,Frontera,Municipio Frontera,AR-S
820238,San Javier,Municipio San Javier,AR-S
820315,San Jorge,Municipio San Jorge,AR-S
820308,El Trébol,Municipio El Trébol,AR-S
820252,Gálvez,Municipio Gálvez,AR-S
540336,Caraguatay,Municipio Caraguatay,AR-N
820168,San Carlos Centro,Municipio San Carlos Centro,AR-S
140679,Cosquín,Municipio Cosquín,AR-X
540105,Fachinal,Municipio Fachinal,AR-N
540301,El Alcázar,Municipio El Alcázar,AR-N
820144,Recreo,Municipio Recreo,AR-S
900049,Municipalidad de Graneros,Municipio Municipalidad de Graneros,AR-T
820140,Laguna Paiva,Municipio Laguna Paiva,AR-S
900014,Municipalidad de San Miguel De Tucuman,Municipio Municipalidad de San Miguel De Tucuman,AR-T
820049,Sunchales,Municipio Sunchales,AR-S
820014,Las Parejas,Municipio Las Parejas,AR-S
820133,Totoras,Municipio Totoras,AR-S
820021,Las Rosas,Municipio Las Rosas,AR-S
540455,Jardín América,Municipio Jardín América,AR-N
820007,Armstrong,Municipio Armstrong,AR-S
820070,Rufino,Municipio Rufino,AR-S
620266,Maquinchao,Municipio Maquinchao,AR-R
620238,Sierra Grande,Municipio Sierra Grande,AR-R
620224,Pilcaniyeu,Municipio Pilcaniyeu,AR-R
620231,San Antonio Oeste,Municipio San Antonio Oeste,AR-R
820028,Casilda,Municipio Casilda,AR-S
260049,Comodoro Rivadavia,Municipio Comodoro Rivadavia,AR-U
820189,Funes,Municipio Funes,AR-S
820203,Pérez,Municipio Pérez,AR-S
820273,Carcarañá,Municipio Carcarañá,AR-S
820063,Firmat,Municipio Firmat,AR-S
820084,Villa Cañás,Municipio Villa Cañás,AR-S
820126,Cañada de Gómez,Municipio Cañada de Gómez,AR-S
820301,San Lorenzo,Municipio San Lorenzo,AR-S
820280,Fray Luis Beltrán,Municipio Fray Luis Beltrán,AR-S
820217,Villa Gobernador Gálvez,Municipio Villa Gobernador Gálvez,AR-S
820056,Villa Constitución,Municipio Villa Constitución,AR-S
820182,Arroyo Seco,Municipio Arroyo Seco,AR-S
620217,Comallo,Municipio Comallo,AR-R
620259,Los Menucos,Municipio Los Menucos,AR-R
620245,Valcheta,Municipio Valcheta,AR-R
620196,Sierra Colorada,Municipio Sierra Colorada,AR-R
620189,Ministro Ramos Mexia,Municipio Ministro Ramos Mexia,AR-R
620154,Gral. Fdez. Oro,Municipio Gral. Fdez. Oro,AR-R
420385,Veinticinco de Mayo,Municipio Veinticinco de Mayo,AR-L
620007,Guardia Mitre,Municipio Guardia Mitre,AR-R
620161,Gral. Roca,Municipio Gral. Roca,AR-R
620084,Gral. Conesa,Municipio Gral. Conesa,AR-R
540364,Campo Viera,Municipio Campo Viera,AR-N
620063,Pomona,Municipio Pomona,AR-R
141372,Alta Gracia,Municipio Alta Gracia,AR-X
620203,Ñorquinco,Municipio Ñorquinco,AR-R
620049,Lamarque,Municipio Lamarque,AR-R
620035,Coronel Belisle,Municipio Coronel Belisle,AR-R
620042,Darwin,Municipio Darwin,AR-R
620021,Chimpay,Municipio Chimpay,AR-R
620119,Chichinales,Municipio Chichinales,AR-R
620112,Cervantes,Municipio Cervantes,AR-R
620091,Allen,Municipio Allen,AR-R
540266,Dos Arroyos,Municipio Dos Arroyos,AR-N
620126,Cinco Saltos,Municipio Cinco Saltos,AR-R
620140,Contralmirante Cordero,Municipio Contralmirante Cordero,AR-R
620105,Catriel,Municipio Catriel,AR-R
620273,Dina Huapi,Municipio Dina Huapi,AR-R
620147,Gral. Enrique Godoy,Municipio Gral. Enrique Godoy,AR-R
540126,Concepción de la Sierra,Municipio Concepción de la Sierra,AR-N
620182,Villa Regina,Municipio Villa Regina,AR-R
620210,Rìo Colorado,Municipio Rìo Colorado,AR-R
141253,Freyre,Municipio Freyre,AR-X
620014,Viedma,Municipio Viedma,AR-R
260028,El Maitén,Municipio El Maitén,AR-U
260042,Lago Puelo,Municipio Lago Puelo,AR-U
260112,Rawson,Municipio Rawson,AR-U
540245,Arroyo del Medio,Municipio Arroyo del Medio,AR-N
260035,Epuyén,Municipio Epuyén,AR-U
260091,Dolavon,Municipio Dolavon,AR-U
260119,Trelew,Municipio Trelew,AR-U
260098,Gaiman,Municipio Gaiman,AR-U
260154,José de San Martín,Municipio José de San Martín,AR-U
260077,Esquel,Municipio Esquel,AR-U
260105,Tecka,Municipio Tecka,AR-U
260056,Rada Tilly,Municipio Rada Tilly,AR-U
260084,Trevelín,Municipio Trevelín,AR-U
260133,Río Mayo,Municipio Río Mayo,AR-U
260063,Camarones,Municipio Camarones,AR-U
420007,Abramo,Municipio Abramo,AR-L
420343,Santa Teresa,Municipio Santa Teresa,AR-L
420140,General Campos,Municipio General Campos,AR-L
420371,Trenel,Municipio Trenel,AR-L
420308,Rancul,Municipio Rancul,AR-L
420105,Coronel Hilario Lagos,Municipio Coronel Hilario Lagos,AR-L
420049,Bernardo Larroude,Municipio Bernardo Larroude,AR-L
420084,Ceballos,Municipio Ceballos,AR-L
420175,Intendente Alvear,Municipio Intendente Alvear,AR-L
420259,Miguel Riglos,Municipio Miguel Riglos,AR-L
420357,Toay,Municipio Toay,AR-L
420287,Puelén,Municipio Puelén,AR-L
420210,La Maruja,Municipio La Maruja,AR-L
420231,Macachín,Municipio Macachín,AR-L
420168,Ingeniero Luiggi,Municipio Ingeniero Luiggi,AR-L
420126,Embajador Martini,Municipio Embajador Martini,AR-L
420119,Eduardo Castex,Municipio Eduardo Castex,AR-L
420266,Monte Nievas,Municipio Monte Nievas,AR-L
420301,Quemú Quemú,Municipio Quemú Quemú,AR-L
420406,Villa Mirasol,Municipio Villa Mirasol,AR-L
420091,Colonia Barón,Municipio Colonia Barón,AR-L
420413,Winifreda,Municipio Winifreda,AR-L
420329,Santa Isabel,Municipio Santa Isabel,AR-L
420350,Telén,Municipio Telén,AR-L
420042,Ataliva Roca,Municipio Ataliva Roca,AR-L
420014,Alpachiri,Municipio Alpachiri,AR-L
420056,Bernasconi,Municipio Bernasconi,AR-L
420399,Victorica,Municipio Victorica,AR-L
420245,Metileo,Municipio Metileo,AR-L
420378,Uriburu,Municipio Uriburu,AR-L
420098,Conhelo,Municipio Conhelo,AR-L
420133,General Acha,Municipio General Acha,AR-L
420161,Guatraché,Municipio Guatraché,AR-L
141092,Mina Clavero,Municipio Mina Clavero,AR-X
420189,La Adela,Municipio La Adela,AR-L
420021,Alta Italia,Municipio Alta Italia,AR-L
420028,Anguil,Municipio Anguil,AR-L
420238,Mauricio Mayer,Municipio Mauricio Mayer,AR-L
420154,General San Martín,Municipio General San Martín,AR-L
420196,La Humada,Municipio La Humada,AR-L
420112,Doblas,Municipio Doblas,AR-L
420273,Parera,Municipio Parera,AR-L
420063,Caleufú,Municipio Caleufú,AR-L
420147,General Pico,Municipio General Pico,AR-L
420252,Miguel Cané,Municipio Miguel Cané,AR-L
420280,Puelches,Municipio Puelches,AR-L
140763,Adelia María,Municipio Adelia María,AR-X
140770,Alcira,Municipio Alcira,AR-X
141421,Almafuerte,Municipio Almafuerte,AR-X
140777,Alpa Corral,Municipio Alpa Corral,AR-X
141589,Alto Alegre,Municipio Alto Alegre,AR-X
420315,Realicó,Municipio Realicó,AR-L
140280,Ausonia,Municipio Ausonia,AR-X
141603,Ballesteros Sud,Municipio Ballesteros Sud,AR-X
141183,Balnearia,Municipio Balnearia,AR-X
141610,Bell Ville,Municipio Bell Ville,AR-X
140784,Berrotarán,Municipio Berrotarán,AR-X
140385,Alejandro Roca,Municipio Alejandro Roca,AR-X
140476,Alejo Ledesma,Municipio Alejo Ledesma,AR-X
141162,Alicia,Municipio Alicia,AR-X
140273,Arroyo Cabral,Municipio Arroyo Cabral,AR-X
141190,Brinkmann,Municipio Brinkmann,AR-X
140210,Buchardo,Municipio Buchardo,AR-X
141169,Altos de Chipión,Municipio Altos de Chipión,AR-X
540252,Caa Yarí,Municipio Caa Yarí,AR-N
140791,Bulnes,Municipio Bulnes,AR-X
540287,Olegario V. Andrade,Municipio Olegario V. Andrade,AR-N
140973,Calchín,Municipio Calchín,AR-X
140980,Calchín Oeste,Municipio Calchín Oeste,AR-X
540259,Cerro Azul,Municipio Cerro Azul,AR-N
140490,Camilo Aldao,Municipio Camilo Aldao,AR-X
141624,Canals,Municipio Canals,AR-X
140987,Capilla del Carmen,Municipio Capilla del Carmen,AR-X
140497,Capitán General B. O'Higgins,Municipio Capitán General B. O'Higgins,AR-X
140399,Carnerillo,Municipio Carnerillo,AR-X
140994,Carrilobo,Municipio Carrilobo,AR-X
140798,Chaján,Municipio Chaján,AR-X
140287,Chazón,Municipio Chazón,AR-X
141631,Chilibroste,Municipio Chilibroste,AR-X
140091,Colonia Caroya,Municipio Colonia Caroya,AR-X
141204,Colonia Prosperidad,Municipio Colonia Prosperidad,AR-X
141638,Cintra,Municipio Cintra,AR-X
141428,Colonia Almada,Municipio Colonia Almada,AR-X
141645,Colonia Bismarck,Municipio Colonia Bismarck,AR-X
141218,Colonia Vignaud,Municipio Colonia Vignaud,AR-X
140812,Coronel Moldes,Municipio Coronel Moldes,AR-X
141435,Corralito,Municipio Corralito,AR-X
140525,Cruz Alta,Municipio Cruz Alta,AR-X
140805,Coronel Baigorria,Municipio Coronel Baigorria,AR-X
140518,Corral de Bustos,Municipio Corral de Bustos,AR-X
141379,Despeñaderos,Municipio Despeñaderos,AR-X
141225,Devoto,Municipio Devoto,AR-X
140182,Cruz del Eje,Municipio Cruz del Eje,AR-X
141232,El Arañado,Municipio El Arañado,AR-X
141442,Dalmacio Vélez,Municipio Dalmacio Vélez,AR-X
140371,Deán Funes,Municipio Deán Funes,AR-X
141246,El Tío,Municipio El Tío,AR-X
140819,Elena,Municipio Elena,AR-X
140105,Estación Juárez Celman,Municipio Estación Juárez Celman,AR-X
140532,General Baldissera,Municipio General Baldissera,AR-X
141456,James Craik,Municipio James Craik,AR-X
140539,General Roca,Municipio General Roca,AR-X
141449,Hernando,Municipio Hernando,AR-X
140427,Huanchilla,Municipio Huanchilla,AR-X
140560,Isla Verde,Municipio Isla Verde,AR-X
140238,Jovita,Municipio Jovita,AR-X
141659,Justiniano Posse,Municipio Justiniano Posse,AR-X
140553,Inriville,Municipio Inriville,AR-X
140231,Italó,Municipio Italó,AR-X
540434,General J. J. Urquiza,Municipio General J. J. Urquiza,AR-N
140119,La Calera,Municipio La Calera,AR-X
140434,La Carlota,Municipio La Carlota,AR-X
540392,Los Helechos,Municipio Los Helechos,AR-N
140014,La Cruz,Municipio La Cruz,AR-X
140693,La Cumbre,Municipio La Cumbre,AR-X
140700,La Falda,Municipio La Falda,AR-X
140301,La Laguna,Municipio La Laguna,AR-X
140077,Córdoba,Municipio Córdoba,AR-X
140308,La Palestina,Municipio La Palestina,AR-X
140903,La Para,Municipio La Para,AR-X
141127,La Paz,Municipio La Paz,AR-X
140315,La Playosa,Municipio La Playosa,AR-X
140910,La Puerta,Municipio La Puerta,AR-X
141547,Las Arrias,Municipio Las Arrias,AR-X
141463,Las Perdices,Municipio Las Perdices,AR-X
141519,Las Peñas,Municipio Las Peñas,AR-X
141281,Las Varas,Municipio Las Varas,AR-X
141288,Las Varillas,Municipio Las Varillas,AR-X
140567,Leones,Municipio Leones,AR-X
140441,Los Cisnes,Municipio Los Cisnes,AR-X
140574,Los Surgentes,Municipio Los Surgentes,AR-X
540490,Mojón Grande,Municipio Mojón Grande,AR-N
140322,Luca,Municipio Luca,AR-X
540378,Gral. Alvear,Municipio Gral. Alvear,AR-N
141386,Lozada,Municipio Lozada,AR-X
141393,Malagueño,Municipio Malagueño,AR-X
140133,Malvinas Argentinas,Municipio Malvinas Argentinas,AR-X
140581,Marcos Juárez,Municipio Marcos Juárez,AR-X
140245,Mattaldi,Municipio Mattaldi,AR-X
140140,Mendiolaza,Municipio Mendiolaza,AR-X
141302,Miramar,Municipio Miramar,AR-X
140588,Monte Buey,Municipio Monte Buey,AR-X
140917,Monte Cristo,Municipio Monte Cristo,AR-X
141673,Monte Leña,Municipio Monte Leña,AR-X
141680,Monte Maíz,Municipio Monte Maíz,AR-X
141400,Monte Ralo,Municipio Monte Ralo,AR-X
141687,Morrison,Municipio Morrison,AR-X
141309,Morteros,Municipio Morteros,AR-X
141694,Noetinger,Municipio Noetinger,AR-X
140924,Obispo Trejo,Municipio Obispo Trejo,AR-X
140448,Olaeta,Municipio Olaeta,AR-X
141477,Oliva,Municipio Oliva,AR-X
141050,Oncativo,Municipio Oncativo,AR-X
141701,Ordóñez,Municipio Ordóñez,AR-X
140329,Pasco,Municipio Pasco,AR-X
141484,Pampayasta Sud,Municipio Pampayasta Sud,AR-X
141708,Pascanas,Municipio Pascanas,AR-X
140931,Piquillín,Municipio Piquillín,AR-X
141316,Porteña,Municipio Porteña,AR-X
141323,Quebracho Herrado,Municipio Quebracho Herrado,AR-X
140378,Quilino,Municipio Quilino,AR-X
140455,Reducción,Municipio Reducción,AR-X
140861,Río Cuarto,Municipio Río Cuarto,AR-X
140938,Río Primero,Municipio Río Primero,AR-X
141071,Río Segundo,Municipio Río Segundo,AR-X
141491,Río Tercero,Municipio Río Tercero,AR-X
141330,Sacanta,Municipio Sacanta,AR-X
140595,Saira,Municipio Saira,AR-X
140154,Saldán,Municipio Saldán,AR-X
140609,Salsacate,Municipio Salsacate,AR-X
540497,San Javier,Municipio San Javier,AR-N
140161,Salsipuedes,Municipio Salsipuedes,AR-X
140868,Sampacho,Municipio Sampacho,AR-X
140056,San Agustín,Municipio San Agustín,AR-X
140875,San Basilio,Municipio San Basilio,AR-X
140602,San Carlos Minas,Municipio San Carlos Minas,AR-X
141337,San Francisco,Municipio San Francisco,AR-X
141414,San Francisco del Chañar,Municipio San Francisco del Chañar,AR-X
141141,San José,Municipio San José,AR-X
140189,San Marcos Sierras,Municipio San Marcos Sierras,AR-X
141106,San Pedro,Municipio San Pedro,AR-X
140035,Santa Rosa de Calamuchita,Municipio Santa Rosa de Calamuchita,AR-X
141526,Sarmiento,Municipio Sarmiento,AR-X
140196,Serrezuela,Municipio Serrezuela,AR-X
141533,Sinsacate,Municipio Sinsacate,AR-X
141498,Tancacha,Municipio Tancacha,AR-X
140728,Tanti,Municipio Tanti,AR-X
140343,Ticino,Municipio Ticino,AR-X
140350,Tío Pujio,Municipio Tío Pujio,AR-X
140889,Tosquita,Municipio Tosquita,AR-X
141358,Tránsito,Municipio Tránsito,AR-X
140469,Ucacha,Municipio Ucacha,AR-X
141736,Viamonte,Municipio Viamonte,AR-X
140896,Vicuña Mackenna,Municipio Vicuña Mackenna,AR-X
340007,Laguna Yema,Municipio Laguna Yema,AR-P
140168,Unquillo,Municipio Unquillo,AR-X
140742,Villa Carlos Paz,Municipio Villa Carlos Paz,AR-X
141113,Villa Cura Brochero,Municipio Villa Cura Brochero,AR-X
141148,Villa de las Rosas,Municipio Villa de las Rosas,AR-X
140966,Villa de María,Municipio Villa de María,AR-X
141085,Villa del Rosario,Municipio Villa del Rosario,AR-X
140203,Villa de Soto,Municipio Villa de Soto,AR-X
141540,Villa del Totoral,Municipio Villa del Totoral,AR-X
141155,Villa Dolores,Municipio Villa Dolores,AR-X
340231,Mayor Vicente E. Villafañe,Municipio Mayor Vicente E. Villafañe,AR-P
140049,Villa General Belgrano,Municipio Villa General Belgrano,AR-X
140749,Villa Giardino,Municipio Villa Giardino,AR-X
140357,Villa María,Municipio Villa María,AR-X
540182,Comandante A. Guacurary,Municipio Comandante A. Guacurary,AR-N
540189,San Antonio,Municipio San Antonio,AR-N
141120,Villa Sarmiento (S. A.),Municipio Villa Sarmiento (S. A.),AR-X
141582,Villa Tulumba,Municipio Villa Tulumba,AR-X
140063,Villa Rumipal,Municipio Villa Rumipal,AR-X
140259,Villa Valeria,Municipio Villa Valeria,AR-X
141743,Wenceslao Escalante,Municipio Wenceslao Escalante,AR-X
140021,Los Cóndores,Municipio Los Cóndores,AR-X
540035,Aristóbulo del Valle,Municipio Aristóbulo del Valle,AR-N
740014,Lujan,Municipio Lujan,AR-D
900126,Municipalidad de Trancas,Municipio Municipalidad de Trancas,AR-T
540133,Santa María,Municipio Santa María,AR-N
540385,Guaraní,Municipio Guaraní,AR-N
740021,Quines,Municipio Quines,AR-D
740133,San Luis,Municipio San Luis,AR-D
740105,Merlo,Municipio Merlo,AR-D
740119,Juana Koslay,Municipio Juana Koslay,AR-D
540021,San José,Municipio San José,AR-N
740077,Villa Mercedes,Municipio Villa Mercedes,AR-D
740073,Ranqueles,Municipio Ranqueles,AR-D
740007,Candelaria,Municipio Candelaria,AR-D
740140,San Martin,Municipio San Martin,AR-D
540476,Ameghino,Municipio Ameghino,AR-N
540357,Campo Ramón,Municipio Campo Ramón,AR-N
740063,Tilisarao,Municipio Tilisarao,AR-D
540007,Apóstoles,Municipio Apóstoles,AR-N
140364,Villa Nueva,Municipio Villa Nueva,AR-X
140945,Santa Rosa de Río Primero,Municipio Santa Rosa de Río Primero,AR-X
540028,Tres Capones,Municipio Tres Capones,AR-N
740108,Desaguadero,Municipio Desaguadero,AR-D
740035,"V, Gral, Roca","Municipio V, Gral, Roca",AR-D
740098,Sta Rosa del Conlara,Municipio Sta Rosa del Conlara,AR-D
540154,Eldorado,Municipio Eldorado,AR-N
540350,Puerto Piray,Municipio Puerto Piray,AR-N
900056,Municipalidad de Juan Bautista Alberdi,Municipio Municipalidad de Juan Bautista Alberdi,AR-T
540308,Garuhapé,Municipio Garuhapé,AR-N
740042,La Toma,Municipio La Toma,AR-D
740084,Buena Esperanza,Municipio Buena Esperanza,AR-D
900091,Municipalidad de Aguilares,Municipio Municipalidad de Aguilares,AR-T
740049,Concaran,Municipio Concaran,AR-D
740056,Naschel,Municipio Naschel,AR-D
740070,Justo Daract,Municipio Justo Daract,AR-D
740091,Union,Municipio Union,AR-D
740038,Estancia Grande,Municipio Estancia Grande,AR-D
749007,La Punta,Municipio La Punta,AR-D
540231,Colonia Wanda,Municipio Colonia Wanda,AR-N
900084,Municipalidad de Monteros,Municipio Municipalidad de Monteros,AR-T
900119,Municipalidad de Tafi Viejo,Municipio Municipalidad de Tafi Viejo,AR-T
900007,Municipalidad de Burruyacu,Municipio Municipalidad de Burruyacu,AR-T
900070,Municipalidad de Bella Vista,Municipio Municipalidad de Bella Vista,AR-T
900042,Municipalidad de Famailla,Municipio Municipalidad de Famailla,AR-T
900028,Municipalidad de Banda del Rio Sali,Municipio Municipalidad de Banda del Rio Sali,AR-T
540049,Dos de Mayo,Municipio Dos de Mayo,AR-N
540112,Garupá,Municipio Garupá,AR-N
540091,Profundidad,Municipio Profundidad,AR-N
540063,Candelaria,Municipio Candelaria,AR-N
540077,Loreto,Municipio Loreto,AR-N
540224,Libertad,Municipio Libertad,AR-N
